embedding,encoder,tagset,link,metric,set,precision,recall,f1
latin-bert,lstm,bio,td,epm,test,0.30566037735849055,0.3767441860465116,0.33749999999999997
latin-bert,lstm,bioe,bd,epm,training,0.9364754098360656,0.9468232044198895,0.9416208791208791
latin-bert,lstm,bioe,bd,epm,validation,0.3227848101265823,0.24519230769230768,0.27868852459016397
latin-bert,lstm,bioe,bd,epm,optimization,0.34507042253521125,0.25654450261780104,0.29429429429429427
latin-bert,lstm,bioe,bd,epm,test,0.3588235294117647,0.2837209302325581,0.3168831168831169
latin-bert,lstm,bioe,td,epm,training,0.8068556361239289,0.8453038674033149,0.8256323777403036
latin-bert,lstm,bioe,td,epm,validation,0.3028571428571429,0.2548076923076923,0.27676240208877284
latin-bert,lstm,bioe,td,epm,optimization,0.3393939393939394,0.2931937172774869,0.3146067415730337
latin-bert,lstm,bioe,td,epm,test,0.35195530726256985,0.2930232558139535,0.3197969543147208
latin-bert,lstm,bioe,td,mbawo,test,0.5758865248226951,0.3922705314009662,0.46666666666666673
latin-bert,lstm,bioe,td,mwo,training,0.9284606866002215,0.9091303404901323,0.918693841770765
latin-bert,lstm,bioe,td,mwo,validation,0.5584415584415584,0.37777777777777777,0.4506781750924784
latin-bert,lstm,bioe,td,mwo,optimization,0.5922535211267606,0.4514224369296833,0.5123362777946999
latin-bert,lstm,bioe,td,mwo,test,0.6297872340425532,0.4289855072463768,0.5103448275862069
latin-bert,lstm,bioj,bd,epm,training,0.513909224011713,0.48480662983425415,0.4989339019189766
latin-bert,lstm,bioj,bd,epm,validation,0.2795031055900621,0.21634615384615385,0.24390243902439024
latin-bert,lstm,bioj,bd,epm,optimization,0.375,0.28272251308900526,0.3223880597014926
latin-bert,lstm,bioj,bd,epm,test,0.2807017543859649,0.22325581395348837,0.2487046632124352
latin-bert,lstm,bioj,bd,mpbm,training,0.6170731707317073,0.6200980392156863,0.6185819070904645
latin-bert,lstm,bioj,bd,mpbm,validation,0.42857142857142855,0.3389121338912134,0.3785046728971963
latin-bert,lstm,bioj,bd,mpbm,optimization,0.4441340782122905,0.375,0.4066496163682865
latin-bert,lstm,bioj,bd,mpbm,test,0.4315068493150685,0.38969072164948454,0.409534127843987
latin-bert,lstm,bioj,bd,mbawo,training,0.6670015788718243,0.6718716113641292,0.6694277379623292
latin-bert,lstm,bioj,bd,mbawo,validation,0.49893541518807666,0.3633074935400517,0.42045454545454547
latin-bert,lstm,bioj,bd,mbawo,optimization,0.5409299279633268,0.4433709071390231,0.48731563421828916
latin-bert,lstm,bioj,bd,mbawo,test,0.4749182115594329,0.4207729468599034,0.4462090163934426
latin-bert,lstm,bioj,bd,mwo,training,0.707836945600689,0.7130051326537988,0.71041163971621
latin-bert,lstm,bioj,bd,mwo,validation,0.5450674237047551,0.39689922480620154,0.4593301435406698
latin-bert,lstm,bioj,bd,mwo,optimization,0.5834970530451866,0.4782608695652174,0.5256637168141592
latin-bert,lstm,bioj,bd,mwo,test,0.529989094874591,0.46956521739130436,0.4979508196721311
latin-bert,lstm,bioj,td,epm,training,0.888135593220339,0.9046961325966851,0.8963393773520356
latin-bert,lstm,bioj,td,epm,validation,0.3735632183908046,0.3125,0.3403141361256544
latin-bert,lstm,bioj,td,epm,optimization,0.3619631901840491,0.3089005235602094,0.3333333333333333
latin-bert,lstm,bioj,td,epm,test,0.3439153439153439,0.3023255813953488,0.3217821782178218
latin-bert,lstm,bioj,td,mpbm,training,0.929389903995045,0.9194240196078431,0.9243801016479285
latin-bert,lstm,bioj,td,mpbm,validation,0.477088948787062,0.3702928870292887,0.41696113074204944
latin-bert,lstm,bioj,td,mpbm,optimization,0.46607669616519176,0.37264150943396224,0.41415465268676277
